,src_ip,dst_ip,src_port,dst_port,protocol,number of packets in forward direction,duration of flow,ACK_flag_count
76,131.202.84.24,224.0.0.252,64869,5355,UDP,4,0.00048732757568359375,0.0
77,131.202.84.15,131.202.6.17,55500,53,UDP,1,9.965896606445312e-05,0
78,131.202.84.15,131.202.6.19,55500,53,UDP,2,0.0002849102020263672,0.0
79,131.202.84.15,138.119.1.221,55500,53,UDP,1,9.012222290039062e-05,0
80,131.202.84.15,131.202.6.93,55500,53,UDP,1,8.988380432128906e-05,0
81,131.202.84.15,131.202.6.35,55500,53,UDP,1,8.392333984375e-05,0
82,131.202.6.17,131.202.84.15,53,55500,UDP,1,0.00011372566223144531,0
83,131.202.6.19,131.202.84.15,53,55500,UDP,2,0.000270843505859375,0.0
84,131.202.84.15,151.101.128.133,41938,443,TCP,17,0.0004799365997314453,0.0
85,138.119.1.221,131.202.84.15,53,55500,UDP,1,9.107589721679688e-05,0
86,131.202.6.35,131.202.84.15,53,55500,UDP,1,8.153915405273438e-05,0
87,131.202.6.93,131.202.84.15,53,55500,UDP,1,7.486343383789062e-05,0
88,151.101.128.133,131.202.84.15,443,41938,TCP,16,0.0004239082336425781,0.0
89,35.160.40.106,131.202.84.15,443,54500,TCP,2,0.0003390312194824219,0.0
90,131.202.84.15,35.160.40.106,54500,443,TCP,1,0.00015997886657714844,0
91,131.202.84.15,224.0.0.251,5353,5353,UDP,1,0.0001628398895263672,0
92,131.202.84.8,131.202.84.255,137,137,UDP,3,0.0005445480346679688,0.0
93,131.202.84.8,224.0.0.251,5353,5353,UDP,2,0.0005459785461425781,0.0
94,131.202.84.8,224.0.0.252,55039,5355,UDP,2,0.0005290508270263672,0.0
